timestamp,iteration,elapsed_time,iteration_time
15:27:27.400337,1,0.000827,0.000552
15:27:27.411098,2,0.011588,0.000455
15:27:27.421905,3,0.022395,0.000487
15:27:27.432569,4,0.033058,0.000320
15:27:27.443166,5,0.043655,0.000295
15:27:27.453924,6,0.054414,0.000443
15:27:27.464891,7,0.065381,0.000528
15:27:27.475756,8,0.076246,0.000605
15:27:27.486799,9,0.087288,0.000746
15:27:27.498505,10,0.098994,0.001402
15:27:27.510883,11,0.111372,0.001784
15:27:27.523152,12,0.123641,0.001897
15:27:27.534914,13,0.135404,0.001212
15:27:27.546227,14,0.146717,0.000990
15:27:27.558358,15,0.158848,0.001826
15:27:27.569309,16,0.169799,0.000438
15:27:27.579941,17,0.180431,0.000431
15:27:27.590893,18,0.191383,0.000686
15:27:27.603092,19,0.203582,0.001856
15:27:27.615163,20,0.215652,0.001689
15:27:27.627859,21,0.228348,0.001811
15:27:27.638633,22,0.239123,0.000539
15:27:27.649817,23,0.250307,0.000863
15:27:27.660933,24,0.261423,0.000856
15:27:27.671706,25,0.272196,0.000472
15:27:27.682552,26,0.283041,0.000604
15:27:27.693312,27,0.293802,0.000555
15:27:27.704045,28,0.304534,0.000544
15:27:27.715558,29,0.316047,0.001307
15:27:27.726562,30,0.327052,0.000620
15:27:27.737360,31,0.337849,0.000531
15:27:27.748099,32,0.348588,0.000528
15:27:27.758861,33,0.359350,0.000555
15:27:27.770489,34,0.370979,0.001351
15:27:27.782558,35,0.383048,0.001335
15:27:27.794382,36,0.394871,0.001245
15:27:27.806233,37,0.406723,0.001251
15:27:27.818154,38,0.418643,0.001315
15:27:27.829991,39,0.430480,0.001227
15:27:27.842046,40,0.442535,0.001285
15:27:27.854643,41,0.455132,0.001725
15:27:27.866301,42,0.466790,0.001235
15:27:27.878808,43,0.479297,0.001813
15:27:27.891474,44,0.491963,0.002121
15:27:27.904155,45,0.504645,0.002155
15:27:27.917357,46,0.517847,0.002476
15:27:27.930782,47,0.531271,0.002166
15:27:27.942800,48,0.543290,0.001291
15:27:27.955601,49,0.556091,0.002068
15:27:27.968113,50,0.568603,0.001841
15:27:27.979981,51,0.580471,0.001336
15:27:27.992002,52,0.592491,0.001313
15:27:28.004225,53,0.604714,0.001638
15:27:28.016030,54,0.616519,0.001216
15:27:28.027976,55,0.628465,0.001325
15:27:28.039880,56,0.640370,0.001321
15:27:28.052592,57,0.653081,0.002114
15:27:28.064822,58,0.665312,0.001854
15:27:28.077068,59,0.677557,0.001673
15:27:28.089163,60,0.689652,0.001305
15:27:28.101228,61,0.701718,0.001254
15:27:28.113212,62,0.713701,0.001246
15:27:28.125178,63,0.725667,0.001251
15:27:28.137025,64,0.737514,0.001223
15:27:28.149337,65,0.749826,0.001726
15:27:28.161520,66,0.762010,0.001563
15:27:28.174197,67,0.774687,0.002069
15:27:28.186007,68,0.786497,0.001342
15:27:28.197988,69,0.798478,0.001324
15:27:28.210304,70,0.810794,0.001633
15:27:28.222309,71,0.822798,0.001321
15:27:28.234534,72,0.835023,0.001642
15:27:28.246026,73,0.846515,0.001020
15:27:28.256805,74,0.857295,0.000488
15:27:28.268093,75,0.868582,0.000597
15:27:28.280533,76,0.881022,0.001870
15:27:28.292835,77,0.893325,0.001609
15:27:28.303916,78,0.904406,0.000532
15:27:28.315099,79,0.915589,0.000534
15:27:28.326756,80,0.927246,0.001019
15:27:28.338792,81,0.939281,0.000928
15:27:28.350451,82,0.950941,0.001003
15:27:28.362855,83,0.963345,0.001715
15:27:28.375459,84,0.975949,0.001910
15:27:28.387866,85,0.988356,0.001618
15:27:28.398895,86,0.999384,0.000446
15:27:28.409444,87,1.009933,0.000316
15:27:28.420428,88,1.020918,0.000480
15:27:28.431565,89,1.032055,0.000548
15:27:28.442867,90,1.043357,0.000541
15:27:28.454986,91,1.055475,0.001276
15:27:28.467654,92,1.068144,0.001354
15:27:28.479516,93,1.080006,0.001285
15:27:28.491497,94,1.091986,0.001292
15:27:28.503395,95,1.103884,0.001267
15:27:28.515465,96,1.115954,0.001375
15:27:28.528100,97,1.128590,0.001830
15:27:28.540849,98,1.141339,0.001743
15:27:28.553246,99,1.153736,0.001870
15:27:28.565470,100,1.165960,0.001706
15:27:28.577132,101,1.177622,0.000924
15:27:28.589370,102,1.189860,0.001670
15:27:28.601279,103,1.201769,0.001282
15:27:28.614325,104,1.214814,0.002399
15:27:28.625611,105,1.226100,0.000712
15:27:28.636327,106,1.236816,0.000505
15:27:28.648636,107,1.249125,0.001746
15:27:28.660121,108,1.260611,0.000481
15:27:28.670900,109,1.271389,0.000330
15:27:28.681674,110,1.282164,0.000327
15:27:28.692635,111,1.293124,0.000385
15:27:28.703615,112,1.304105,0.000525
15:27:28.714570,113,1.315059,0.000410
15:27:28.726056,114,1.326545,0.000761
15:27:28.737042,115,1.337532,0.000410
