ts_sec,rel_ms,current_mA
1757011944.999333,0.220,0.100
1757011945.001398,2.285,0.100
1757011945.003456,4.344,0.100
1757011945.005514,6.402,0.100
1757011945.007572,8.459,0.100
1757011945.009629,10.517,0.100
1757011945.011687,12.575,0.100
1757011945.013746,14.633,0.100
1757011945.015805,16.692,0.100
1757011945.017864,18.751,0.100
1757011945.019922,20.809,0.100
1757011945.021980,22.867,0.100
1757011945.024016,24.904,0.100
1757011945.026075,26.963,0.100
1757011945.028133,29.021,0.100
1757011945.030193,31.081,0.100
1757011945.032255,33.142,0.100
1757011945.034317,35.204,0.100
1757011945.036379,37.266,0.100
1757011945.038441,39.328,0.100
1757011945.040503,41.390,0.100
1757011945.042566,43.453,0.100
1757011945.044628,45.516,0.100
1757011945.046691,47.579,0.100
1757011945.048755,49.643,0.100
1757011945.050820,51.707,0.100
1757011945.052886,53.773,0.100
1757011945.054951,55.839,0.100
1757011945.057020,57.908,0.100
1757011945.059088,59.975,0.100
1757011945.061155,62.042,0.100
1757011945.063222,64.110,0.100
1757011945.065289,66.177,0.100
1757011945.067358,68.245,0.100
1757011945.069428,70.316,0.100
1757011945.071498,72.385,0.100
1757011945.073575,74.462,0.100
1757011945.075650,76.537,0.100
1757011945.077721,78.608,0.100
1757011945.079790,80.677,0.100
1757011945.081860,82.747,0.100
1757011945.083929,84.817,0.100
1757011945.086000,86.887,0.100
1757011945.088069,88.956,0.100
1757011945.090139,91.027,0.100
1757011945.092210,93.098,0.100
1757011945.094280,95.167,0.100
1757011945.096349,97.236,0.100
1757011945.098419,99.306,0.100
1757011945.100489,101.377,0.100
1757011945.102559,103.446,0.100
1757011945.104628,105.516,0.100
1757011945.106698,107.586,0.100
1757011945.108768,109.656,0.100
1757011945.110838,111.726,0.100
1757011945.112907,113.794,0.100
1757011945.114977,115.864,0.100
1757011945.117047,117.935,0.100
1757011945.119117,120.005,0.100
1757011945.121187,122.074,0.100
1757011945.123258,124.145,0.100
1757011945.125328,126.215,0.100
1757011945.127397,128.284,0.100
1757011945.129467,130.355,0.100
1757011945.131538,132.425,0.100
1757011945.133607,134.494,0.100
1757011945.135676,136.564,0.100
1757011945.137747,138.635,0.100
1757011945.139817,140.704,0.100
1757011945.141886,142.774,0.100
1757011945.143957,144.844,0.100
1757011945.146027,146.914,0.100
1757011945.148095,148.983,0.100
1757011945.150166,151.053,0.100
1757011945.152243,153.130,0.100
1757011945.154316,155.203,0.100
1757011945.156383,157.270,0.100
1757011945.158451,159.338,0.100
1757011945.160520,161.407,0.100
1757011945.162590,163.478,0.100
1757011945.164659,165.546,0.100
1757011945.166728,167.616,0.100
1757011945.168798,169.686,0.100
1757011945.170867,171.755,0.100
1757011945.172936,173.823,0.100
1757011945.175005,175.893,0.100
1757011945.177073,177.961,0.100
1757011945.179143,180.030,0.080
1757011945.181214,182.101,0.080
1757011945.183284,184.171,0.080
1757011945.185381,186.269,0.080
1757011945.187451,188.339,0.080
1757011945.189520,190.408,0.080
1757011945.191590,192.477,0.080
1757011945.193659,194.547,0.080
1757011945.195729,196.617,0.080
1757011945.197798,198.686,0.080
1757011945.199868,200.756,0.080
1757011945.201937,202.824,0.080
1757011945.204039,204.926,0.080
1757011945.206109,206.996,0.080
1757011945.208176,209.064,0.080
1757011945.210245,211.132,0.080
1757011945.212314,213.201,0.080
1757011945.214383,215.271,0.080
1757011945.216451,217.339,0.080
1757011945.218521,219.408,0.080
1757011945.220590,221.477,0.080
1757011945.222659,223.547,0.080
1757011945.224726,225.614,0.080
1757011945.226795,227.683,0.080
1757011945.228865,229.752,0.080
1757011945.230933,231.821,0.080
1757011945.233003,233.890,0.080
1757011945.235072,235.959,0.080
1757011945.237140,238.028,0.080
1757011945.239210,240.097,0.080
1757011945.241279,242.167,0.080
1757011945.243348,244.236,0.080
1757011945.245418,246.305,0.080
1757011945.247487,248.374,0.080
1757011945.249557,250.444,0.080
1757011945.251626,252.514,0.080
1757011945.253695,254.582,0.080
1757011945.255764,256.652,0.080
1757011945.257842,258.729,0.080
1757011945.259914,260.802,0.080
1757011945.261985,262.872,0.080
1757011945.264027,264.914,0.080
1757011945.266096,266.984,0.080
1757011945.268163,269.051,0.080
1757011945.270233,271.120,0.080
1757011945.272302,273.189,0.080
1757011945.274371,275.259,0.080
1757011945.276439,277.326,0.080
1757011945.278507,279.395,0.080
1757011945.280577,281.464,0.080
1757011945.282646,283.534,0.080
1757011945.284714,285.601,0.080
1757011945.286783,287.670,0.080
1757011945.288854,289.741,0.080
1757011945.290923,291.811,0.080
1757011945.292990,293.878,0.080
1757011945.295060,295.947,0.080
1757011945.297129,298.016,0.080
1757011945.299197,300.085,0.080
1757011945.301265,302.152,0.080
1757011945.303334,304.221,0.080
1757011945.305402,306.289,0.080
1757011945.307471,308.358,0.080
1757011945.309540,310.427,0.080
1757011945.311610,312.497,0.080
1757011945.313679,314.566,0.080
1757011945.315747,316.635,0.080
1757011945.317816,318.704,0.080
1757011945.319885,320.773,0.080
1757011945.321954,322.841,0.080
1757011945.324021,324.909,0.080
1757011945.326091,326.978,0.080
1757011945.328161,329.048,0.080
1757011945.330230,331.118,0.080
1757011945.332298,333.185,0.080
1757011945.334368,335.255,0.080
1757011945.336434,337.321,0.080
1757011945.338503,339.390,0.080
1757011945.340569,341.457,0.080
1757011945.342639,343.526,0.080
1757011945.344706,345.593,0.080
1757011945.346775,347.662,0.080
1757011945.348843,349.730,0.080
1757011945.350912,351.799,0.080
1757011945.352983,353.871,0.080
1757011945.355052,355.940,0.080
1757011945.357119,358.007,0.080
1757011945.359188,360.075,0.080
1757011945.361256,362.144,0.080
1757011945.363325,364.213,0.080
1757011945.365404,366.292,0.080
1757011945.367473,368.360,0.080
1757011945.369542,370.429,0.080
1757011945.371610,372.498,0.080
1757011945.373678,374.565,0.080
1757011945.375748,376.635,0.080
1757011945.377816,378.704,0.080
1757011945.379886,380.773,0.080
1757011945.381953,382.841,0.080
1757011945.384025,384.913,0.080
1757011945.386094,386.981,0.080
1757011945.388162,389.050,0.080
1757011945.390231,391.119,0.080
1757011945.392299,393.186,0.080
1757011945.394369,395.257,0.080
1757011945.396442,397.329,0.080
1757011945.398515,399.403,0.080
1757011945.400584,401.471,0.080
1757011945.402653,403.540,0.080
1757011945.404720,405.607,0.080
1757011945.406789,407.676,0.080
1757011945.408867,409.755,0.080
1757011945.410935,411.822,0.080
1757011945.413003,413.891,0.080
1757011945.415071,415.958,0.080
1757011945.417141,418.028,0.080
1757011945.419210,420.098,0.080
1757011945.421280,422.167,0.080
1757011945.423348,424.236,0.080
1757011945.425424,426.311,0.080
1757011945.427493,428.380,0.080
1757011945.429561,430.449,0.080
1757011945.431630,432.518,0.080
1757011945.433698,434.585,0.080
1757011945.435768,436.655,0.080
1757011945.437837,438.724,0.080
1757011945.439906,440.793,0.080
1757011945.441975,442.862,0.080
1757011945.444028,444.916,0.080
1757011945.446097,446.985,0.080
1757011945.448165,449.053,0.080
1757011945.450234,451.122,0.080
1757011945.452301,453.188,0.080
1757011945.454370,455.257,0.080
1757011945.456439,457.327,0.080
1757011945.458508,459.395,0.080
1757011945.460575,461.462,0.080
1757011945.462644,463.531,0.080
1757011945.464712,465.599,0.080
1757011945.466780,467.668,0.080
1757011945.468849,469.737,0.080
1757011945.470918,471.805,0.080
1757011945.472986,473.873,0.080
1757011945.475055,475.942,0.080
1757011945.477123,478.010,0.080
1757011945.479191,480.078,0.080
1757011945.481259,482.146,0.080
1757011945.483327,484.215,0.080
1757011945.485401,486.288,0.080
1757011945.487470,488.358,0.080
1757011945.489539,490.426,0.080
1757011945.491607,492.495,0.080
1757011945.493693,494.580,0.080
1757011945.495762,496.650,0.080
1757011945.497831,498.719,0.080
1757011945.499900,500.788,0.080
1757011945.501969,502.856,0.080
1757011945.504013,504.901,0.080
1757011945.506083,506.970,0.080
1757011945.508150,509.037,0.080
1757011945.510219,511.106,0.080
1757011945.512285,513.173,0.080
1757011945.514353,515.240,0.080
1757011945.516422,517.309,0.080
1757011945.518491,519.378,0.080
1757011945.520560,521.447,0.080
1757011945.522629,523.516,0.080
1757011945.524697,525.585,0.080
1757011945.526766,527.653,0.080
1757011945.528834,529.721,0.080
1757011945.530902,531.790,0.080
1757011945.532970,533.858,0.080
1757011945.535039,535.927,0.080
1757011945.537108,537.995,0.080
1757011945.539178,540.066,0.080
1757011945.541247,542.134,0.080
1757011945.543316,544.203,0.080
1757011945.545387,546.274,0.080
1757011945.547456,548.343,0.080
1757011945.549525,550.412,0.080
1757011945.551594,552.481,0.080
1757011945.553663,554.550,0.080
1757011945.555732,556.619,0.080
1757011945.557801,558.688,0.080
1757011945.559870,560.758,0.080
1757011945.561939,562.827,0.080
1757011945.564018,564.906,0.080
1757011945.566087,566.974,0.080
1757011945.568153,569.040,0.080
1757011945.570221,571.109,0.080
1757011945.572291,573.178,0.080
1757011945.574360,575.248,0.080
1757011945.576427,577.315,0.080
1757011945.578496,579.383,0.080
1757011945.580565,581.452,0.080
1757011945.582633,583.521,0.080
1757011945.584704,585.591,0.080
1757011945.586773,587.661,0.080
1757011945.588842,589.730,0.060
1757011945.590911,591.799,0.060
1757011945.592979,593.867,0.060
1757011945.595048,595.936,0.060
1757011945.597117,598.005,0.060
1757011945.599186,600.073,0.060
1757011945.601253,602.140,0.060
1757011945.603322,604.209,0.060
1757011945.605401,606.288,0.060
1757011945.607470,608.358,0.060
1757011945.609539,610.426,0.060
1757011945.611608,612.495,0.060
1757011945.613679,614.566,0.060
1757011945.615749,616.636,0.060
1757011945.617818,618.705,0.060
1757011945.619888,620.775,0.060
1757011945.621956,622.844,0.060
1757011945.624029,624.916,0.060
1757011945.626097,626.985,0.060
1757011945.628166,629.054,0.060
1757011945.630235,631.122,0.060
1757011945.632302,633.189,0.060
1757011945.634370,635.258,0.060
1757011945.636438,637.325,0.060
1757011945.638506,639.394,0.060
1757011945.640575,641.463,0.060
1757011945.642644,643.532,0.060
1757011945.644713,645.600,0.060
1757011945.646782,647.670,0.060
1757011945.648853,649.741,0.060
1757011945.650922,651.809,0.060
1757011945.652990,653.877,0.060
1757011945.655059,655.946,0.060
1757011945.657128,658.016,0.060
1757011945.659196,660.084,0.060
1757011945.661265,662.152,0.060
1757011945.663334,664.222,0.060
1757011945.665403,666.291,0.060
1757011945.667471,668.358,0.060
1757011945.669540,670.427,0.060
1757011945.671613,672.501,0.060
1757011945.673683,674.570,0.060
1757011945.675751,676.638,0.060
1757011945.677819,678.707,0.060
1757011945.679889,680.776,0.060
1757011945.681958,682.846,0.060
1757011945.684024,684.911,0.060
1757011945.686097,686.984,0.060
1757011945.688164,689.051,0.060
1757011945.690227,691.115,0.060
1757011945.692288,693.175,0.080
1757011945.694346,695.234,0.080
1757011945.696429,697.316,0.080
1757011945.698488,699.375,0.080
1757011945.700548,701.436,0.080
1757011945.702611,703.499,0.080
1757011945.704673,705.561,0.080
1757011945.706733,707.620,0.080
1757011945.708795,709.683,0.080
1757011945.710854,711.741,0.080
1757011945.712911,713.799,0.080
1757011945.714969,715.857,0.080
1757011945.717028,717.915,0.080
1757011945.719087,719.975,0.080
1757011945.721149,722.036,0.080
1757011945.723206,724.093,0.080
1757011945.725265,726.152,0.080
1757011945.727322,728.209,0.080
1757011945.729381,730.268,0.080
1757011945.731441,732.329,0.080
1757011945.733503,734.391,0.080
1757011945.735573,736.460,0.080
1757011945.737635,738.522,0.080
1757011945.739693,740.580,0.080
1757011945.741750,742.638,0.080
1757011945.743808,744.695,0.080
1757011945.745867,746.754,0.080
1757011945.747925,748.812,0.080
1757011945.749982,750.870,0.080
1757011945.752006,752.893,0.080
1757011945.754064,754.951,0.080
1757011945.756122,757.010,0.080
1757011945.758182,759.070,0.080
1757011945.760241,761.128,0.080
1757011945.762301,763.188,0.080
1757011945.764360,765.247,0.080
1757011945.766419,767.306,0.080
1757011945.768480,769.367,0.080
1757011945.770540,771.428,0.080
1757011945.772601,773.489,0.080
1757011945.774664,775.552,0.080
1757011945.776726,777.614,0.080
1757011945.778788,779.675,0.080
1757011945.780850,781.737,0.080
1757011945.782912,783.800,0.080
1757011945.784975,785.862,0.080
1757011945.787039,787.927,0.080
1757011945.789104,789.991,0.080
1757011945.791172,792.059,0.080
1757011945.793237,794.124,0.080
1757011945.795306,796.193,0.080
1757011945.797375,798.263,0.080
1757011945.799444,800.331,0.080
1757011945.801512,802.399,0.080
1757011945.803581,804.468,0.080
1757011945.805650,806.537,0.080
1757011945.807719,808.606,0.080
1757011945.809788,810.676,0.080
1757011945.811858,812.746,0.080
1757011945.813927,814.814,0.080
1757011945.816013,816.900,0.080
1757011945.818082,818.969,0.080
1757011945.820149,821.037,0.080
1757011945.822218,823.106,0.080
1757011945.824288,825.175,0.080
1757011945.826357,827.245,0.080
1757011945.828424,829.311,0.080
1757011945.830493,831.381,0.080
1757011945.832562,833.449,0.080
1757011945.834631,835.519,0.080
1757011945.836699,837.587,0.080
1757011945.838768,839.656,0.080
1757011945.840837,841.725,0.080
1757011945.842907,843.794,0.080
1757011945.844974,845.862,0.080
